model,temperature,epsilon,n_images_repaired,f1_all,f1_nonrepaired_only,f1_repaired_only
llava-llama3:8b,1.0,0.5,116,0.29899941141848146,0.28646517739816035,0.30916844349680167
llava-llama3:8b,1.0,0.6,116,0.20600353148911124,0.2076215505913272,0.20469083155650317
llava-llama3:8b,1.0,0.7,116,0.14243672748675693,0.13929040735873852,0.14498933901918976
llava-llama3:8b,1.0,0.8,116,0.07180694526191879,0.0709592641261498,0.07249466950959488
llava-llama3:8b,1.0,0.9,116,0.028251912889935258,0.026281208935611037,0.029850746268656716
llava-phi3:3.8b,0.0,0.5,8,0.4173687621516526,0.41778975741239893,0.4067796610169491
llava-phi3:3.8b,0.0,0.6,8,0.2073882047958522,0.20619946091644206,0.23728813559322035
llava-phi3:3.8b,0.0,0.7,8,0.1373946856772521,0.1334231805929919,0.23728813559322035
llava-phi3:3.8b,0.0,0.8,8,0.1036941023979261,0.09973045822102426,0.20338983050847456
llava-phi3:3.8b,0.0,0.9,8,0.03629293583927414,0.03504043126684636,0.06779661016949154
llava-phi3:3.8b,0.2,0.5,11,0.403090792015454,0.40569877883310723,0.3544303797468354
llava-phi3:3.8b,0.2,0.6,11,0.20734063103670317,0.2103120759837178,0.1518987341772152
llava-phi3:3.8b,0.2,0.7,11,0.1365099806825499,0.1383989145183175,0.10126582278481013
llava-phi3:3.8b,0.2,0.8,11,0.10173857050869285,0.10312075983717775,0.0759493670886076
llava-phi3:3.8b,0.2,0.9,11,0.0360592401802962,0.035278154681139755,0.05063291139240506
llava-phi3:3.8b,0.4,0.5,11,0.36704621567314133,0.3679312813171081,0.3541666666666667
llava-phi3:3.8b,0.4,0.6,11,0.19156061620897522,0.18897637795275588,0.22916666666666666
llava-phi3:3.8b,0.4,0.7,11,0.11922304085733422,0.11882605583392986,0.125
llava-phi3:3.8b,0.4,0.8,11,0.09243134628265239,0.09162491052254833,0.10416666666666666
llava-phi3:3.8b,0.4,0.9,11,0.02813127930341594,0.025769506084466716,0.0625
llava-phi3:3.8b,0.6,0.5,19,0.351663272233537,0.35106382978723405,0.356687898089172
llava-phi3:3.8b,0.6,0.6,19,0.16429056347589951,0.16413373860182373,0.16560509554140126
llava-phi3:3.8b,0.6,0.7,19,0.10183299389002039,0.10030395136778116,0.11464968152866241
llava-phi3:3.8b,0.6,0.8,19,0.07875084860828242,0.07750759878419453,0.089171974522293
llava-phi3:3.8b,0.6,0.9,19,0.03122878479293958,0.03343465045592705,0.012738853503184714
llava-phi3:3.8b,0.8,0.5,25,0.3080906148867314,0.3035311795642374,0.33644859813084116
llava-phi3:3.8b,0.8,0.6,25,0.172168284789644,0.16378662659654397,0.22429906542056074
llava-phi3:3.8b,0.8,0.7,25,0.10744336569579288,0.10067618332081144,0.14953271028037382
llava-phi3:3.8b,0.8,0.8,25,0.05695792880258899,0.051089406461307295,0.09345794392523364
llava-phi3:3.8b,0.8,0.9,25,0.022006472491909384,0.018031555221637866,0.04672897196261682
llava-phi3:3.8b,1.0,0.5,28,0.2678100263852243,0.25949367088607594,0.30952380952380953
llava-phi3:3.8b,1.0,0.6,28,0.158311345646438,0.1439873417721519,0.23015873015873015
llava-phi3:3.8b,1.0,0.7,28,0.09102902374670185,0.08069620253164557,0.14285714285714285
llava-phi3:3.8b,1.0,0.8,28,0.05804749340369393,0.05379746835443038,0.07936507936507936
llava-phi3:3.8b,1.0,0.9,28,0.018469656992084433,0.014240506329113925,0.03968253968253968
