model,temperature,epsilon,n_matched_with_weight,n_missed,mae,medae,nmae_legacy,cpmae,cpmae_fp
gpt-5.2,0.4,0.5,606,264,46.54620462046205,24.5,71.56666666666666,78.3287356321839,136.73218390804598
gpt-5.2,0.4,0.6,382,488,51.66492146596859,30.0,95.04367816091954,102.94022988505748,194.9551724137931
gpt-5.2,0.4,0.7,212,658,50.64622641509434,31.5,109.90689655172413,123.83563218390805,246.23333333333332
gpt-5.2,0.4,0.8,72,798,33.47222222222222,24.5,121.09425287356322,143.27011494252875,292.45862068965516
gpt-5.2,0.4,0.9,29,841,31.93103448275862,24.0,125.76436781609195,147.97471264367817,304.73218390804595
gpt-5.2,0.6,0.5,620,250,45.91290322580645,24.0,69.78850574712644,77.43563218390804,134.7471264367816
gpt-5.2,0.6,0.6,386,484,49.295336787564764,31.0,93.6367816091954,103.28045977011494,194.0712643678161
gpt-5.2,0.6,0.7,218,652,49.981651376146786,34.0,109.2,122.40459770114943,243.32183908045977
gpt-5.2,0.6,0.8,77,793,33.51948051948052,22.0,120.54942528735633,142.22298850574714,291.9609195402299
gpt-5.2,0.6,0.9,31,839,28.677419354838708,16.0,125.42528735632185,147.92183908045976,305.82068965517243
