epsilon,reference,model,ref_T,model_T,delta_f1_mean,delta_f1_lo,delta_f1_hi,p_ref_better
0.8,gpt-4o,bakllava:7b,0.4,1.0,0.16234693186621132,0.13108223727202623,0.19537687905816964,1.0
0.8,gpt-4o,gemma3:12b,0.4,0.4,0.09960410376281369,0.07197193771011524,0.12769495432014374,1.0
0.8,gpt-4o,gemma3:4b,0.4,0.6,0.1022881220314793,0.07029732446014182,0.1352590789388922,1.0
0.8,gpt-4o,gpt-4.1,0.4,0.2,0.036401660310187184,0.01275350718584855,0.060857221373671215,0.998
0.8,gpt-4o,gpt-5.2,0.4,0.0,0.14573827381196705,0.12071984795121339,0.1719237462137995,1.0
0.8,gpt-4o,granite3.2-vision:2b,0.4,0.2,0.17426477499342144,0.14419343699845555,0.20575070283642496,1.0
0.8,gpt-4o,llama3.2-vision:11b,0.4,0.0,-0.023508197028367803,-0.053086571536921326,0.007791526215213477,0.073
0.8,gpt-4o,llava-llama3:8b,0.4,0.0,0.142371272679766,0.11205005832570133,0.17330575712516877,1.0
0.8,gpt-4o,llava-phi3:3.8b,0.4,0.0,0.14272946618480367,0.11290975541391743,0.17422427034721408,1.0
0.8,gpt-4o,llava:13b,0.4,0.0,0.12927204579297943,0.09716420254637487,0.1610966489867491,1.0
0.8,gpt-4o,llava:7b,0.4,0.4,0.1565847559167779,0.12627429112542002,0.18955137472540617,1.0
0.8,gpt-4o,minicpm-v:8b,0.4,0.0,0.08484120274127492,0.05691825874205192,0.11350969362027835,1.0
0.8,gpt-4o,ministral-3:14b,0.4,0.2,0.19601978456029748,0.1714187867556774,0.2215967027293482,1.0
0.8,gpt-4o,ministral-3:3b,0.4,0.2,0.1821422709455472,0.15461097148122824,0.20972678730077593,1.0
0.8,gpt-4o,ministral-3:8b,0.4,0.4,0.18769665402644603,0.15973376539119247,0.2146464720139956,1.0
0.8,gpt-4o,mistral-small3.1:24b,0.4,0.0,0.05452461694095116,0.02646746504423506,0.0822608894442014,1.0
0.8,gpt-4o,moondream:1.8b,0.4,0.8,0.14404519387327983,0.11281457335331734,0.17454522043755433,1.0
0.8,gpt-4o,qwen2.5vl:3b,0.4,0.0,0.022842234020371735,-0.012675499736139208,0.060346002830108714,0.8895
0.8,gpt-4o,qwen2.5vl:7b,0.4,0.4,-0.07328490813700742,-0.10442741072957855,-0.040967414304628205,0.0
0.8,gpt-4o,qwen3-vl:2b,0.4,0.8,0.10331670149790233,0.0737260696009631,0.13382870825134074,1.0
0.8,gpt-4o,qwen3-vl:4b,0.4,0.8,0.0990196762459649,0.07009759388179092,0.12830530402578827,1.0
0.8,gpt-4o,qwen3-vl:8b,0.4,0.6,0.10516201805319952,0.07590616262964821,0.1330306894941729,1.0
0.9,qwen2.5vl:7b,bakllava:7b,0.0,0.8,0.12898809728060956,0.10155496633692042,0.15355677227950215,1.0
0.9,qwen2.5vl:7b,gemma3:12b,0.0,0.4,0.05594057837517727,0.03594803916595526,0.07636654033385926,1.0
0.9,qwen2.5vl:7b,gemma3:4b,0.0,1.0,0.05684128378363002,0.035886726674980864,0.07958388260390084,1.0
0.9,qwen2.5vl:7b,gpt-4.1,0.0,0.2,0.03278531656794906,0.00776306551663228,0.05772605088417902,0.991
0.9,qwen2.5vl:7b,gpt-4o,0.0,0.4,-0.004907621846768287,-0.026803165203595502,0.017463794239978712,0.3355
0.9,qwen2.5vl:7b,gpt-5.2,0.0,0.0,0.11178488415898892,0.08721100807212162,0.13598448760478743,1.0
0.9,qwen2.5vl:7b,granite3.2-vision:2b,0.0,0.6,0.12143755187560541,0.09715390525351142,0.1459711490508357,1.0
0.9,qwen2.5vl:7b,llama3.2-vision:11b,0.0,0.4,0.05995180623161054,0.03856346470639726,0.08145397037891527,1.0
0.9,qwen2.5vl:7b,llava-llama3:8b,0.0,0.0,0.11657167881516753,0.09106925751710783,0.14054029669274826,1.0
0.9,qwen2.5vl:7b,llava-phi3:3.8b,0.0,0.0,0.11959404919735053,0.09743932661731285,0.14136107257200597,1.0
0.9,qwen2.5vl:7b,llava:13b,0.0,0.0,0.09947584539442238,0.07496546299212078,0.12270050686266736,1.0
0.9,qwen2.5vl:7b,llava:7b,0.0,0.4,0.11513897874893408,0.09162930103493427,0.13883842301150362,1.0
0.9,qwen2.5vl:7b,minicpm-v:8b,0.0,0.0,0.06305573548605353,0.03899971323154531,0.08713474771629104,1.0
0.9,qwen2.5vl:7b,ministral-3:14b,0.0,0.2,0.14319229871122188,0.11956833888862742,0.16715895374483178,1.0
0.9,qwen2.5vl:7b,ministral-3:3b,0.0,0.2,0.12608122756778387,0.1024472921335472,0.14930374131370508,1.0
0.9,qwen2.5vl:7b,ministral-3:8b,0.0,0.4,0.1293887804737312,0.10600333395037206,0.1527840479870436,1.0
0.9,qwen2.5vl:7b,mistral-small3.1:24b,0.0,0.0,0.035019298106035254,0.014671436339498469,0.05480755402994064,1.0
0.9,qwen2.5vl:7b,moondream:1.8b,0.0,0.8,0.11254640642711575,0.08838238630237967,0.13689034308742676,1.0
0.9,qwen2.5vl:7b,qwen2.5vl:3b,0.0,0.2,0.04543113494284465,0.024828867633675297,0.06691737236727038,1.0
0.9,qwen2.5vl:7b,qwen3-vl:2b,0.0,0.8,0.07203167778977057,0.05259051276748449,0.09195618503877442,1.0
0.9,qwen2.5vl:7b,qwen3-vl:4b,0.0,0.8,0.05762412781904506,0.034482241474078905,0.08062234041804556,1.0
0.9,qwen2.5vl:7b,qwen3-vl:8b,0.0,0.0,0.06544712467667173,0.04300789124794306,0.08861840432478316,1.0
0.9,gpt-4o,bakllava:7b,0.4,0.8,0.13389571912737788,0.11004579192337273,0.15585747798786628,1.0
0.9,gpt-4o,gemma3:12b,0.4,0.4,0.060848200221945564,0.03801783623189105,0.08296785091196418,1.0
