model,temperature,epsilon,precision_mean,precision_lo,precision_hi,recall_mean,recall_lo,recall_hi,f1_mean,f1_lo,f1_hi,jaccard_mean,jaccard_lo,jaccard_hi,mae_mean,mae_lo,mae_hi,cpmae_mean,cpmae_lo,cpmae_hi,cpmae_fp_mean,cpmae_fp_lo,cpmae_fp_hi
gemma3:12b,0.4,0.5,0.5285898061496996,0.4927505074244205,0.5631240743947735,0.4929708681001998,0.45963898826019045,0.5251560228607841,0.5101046446831217,0.4776283935596426,0.5419509265614275,0.3425398514077997,0.3137396885003694,0.3716959498740391,49.992380262060315,42.87288518861136,57.921176702010875,103.34614067528236,97.55232890442196,109.51522259576201,147.56257789886996,138.75476307870505,156.8953667530153
gemma3:12b,0.4,0.6,0.3706945074318477,0.33854061654782397,0.40169981668606813,0.3457011563539681,0.31626286038938317,0.37471532623395054,0.3577235630197332,0.32752408038971864,0.3870967741935484,0.21792530879779723,0.1958318661971831,0.24,51.53346947242719,43.05352890018732,61.08470744680851,116.53438964446099,110.71114852876327,122.81282329421833,176.41961705375235,167.08245470655297,186.45864454481355
gemma3:12b,0.4,0.7,0.25357488729072764,0.22509535107096768,0.28292799906416327,0.23646888453614193,0.20956666781578412,0.2641946697566628,0.24469717935459648,0.2171468192503369,0.27278005188303767,0.13947758572600263,0.121797364936718,0.15793011896396494,51.238347917926774,42.14829329962073,61.6973406800653,126.7333135664521,121.21356015932133,132.64974036238092,198.2438970327776,189.50179279526785,208.03743322649572
gemma3:12b,0.4,0.8,0.1523565446453462,0.1282359543456954,0.17669172932330826,0.1420786024164815,0.11961186888523888,0.16471104231166148,0.14702248040737478,0.1235965816521603,0.17032219784156552,0.07938925113189839,0.06586887506320958,0.09308862929349142,42.084156268272764,34.95212912087912,49.297304730473044,138.22686930381727,132.78631283705798,144.0159583482516,222.7077206187829,213.87698501275509,232.0686497594226
gemma3:12b,0.4,0.9,0.10336832594086513,0.08260098059766827,0.12365317521239262,0.0963898951590252,0.07728323730649445,0.11520954188126863,0.09974653596344608,0.07995295130338886,0.11874024137107586,0.052520728968384674,0.04164114174059951,0.06311740890688258,42.4052437377494,35.244880110062894,49.821387627081975,142.94432143011292,137.69914359698683,148.6606388144577,232.84654966396647,224.1324492533519,241.80667532811026
gemma3:12b,0.6,0.5,0.5131116808525809,0.47577031881979787,0.548543842358501,0.4798252736371158,0.4451039739588482,0.5124879042708506,0.495856925346436,0.4614433508561929,0.5282572497688777,0.32983897247960453,0.29991963688693357,0.3589331422170392,52.61343465264558,45.500897129186605,60.58388317191283,104.45251554773424,98.5950685937388,110.67316114333661,148.69707283413692,139.432635303165,158.62036645226812
gemma3:12b,0.6,0.6,0.36145461962830217,0.32735290564214087,0.3962025691847981,0.3379724383045247,0.306985421458399,0.3693589373221202,0.3492816101286079,0.31679534531785003,0.3806108221189011,0.2117117561507651,0.1882096419205794,0.23503357149878837,52.3506725160145,45.274599270215674,60.74402354111405,117.44755405705516,111.55508881313914,123.52356555204044,176.58927535015948,167.0499838425382,186.7369005847953
gemma3:12b,0.6,0.7,0.24568875965462433,0.21695645995305854,0.2746318669327181,0.2297303335470154,0.20293085214951762,0.2566918840627148,0.23741611915986988,0.2100745996150806,0.26481682757525143,0.13476850830996492,0.1173650030480011,0.1526160659234448,56.359776554150685,47.265456456218274,67.18336262593756,127.5736687396245,121.90083296685278,133.46878092792548,198.43037507610353,189.02204055727827,208.41774064334106
gemma3:12b,0.6,0.8,0.14095068521295168,0.11721588884930531,0.16504883612118376,0.1317917412476158,0.10996533743795342,0.15437998924379673,0.13620271431347641,0.11375211048382841,0.15941272880544444,0.07312111611970377,0.06030602409638554,0.08660970948820715,45.19831636505223,38.271937459703416,51.93900370959194,139.42516111488698,133.82954172666095,145.16738399334946,224.13830704006912,215.1265443928054,233.88011524290118
gemma3:12b,0.6,0.9,0.09931637118508488,0.0792038833745357,0.11966145833333332,0.09285550183987391,0.07432370708101525,0.11162049386628155,0.0959669459032091,0.07651527578099622,0.11566340965235512,0.05043028290474761,0.03977950790030043,0.06138150172187284,47.005817528737865,38.88861111111111,55.533851351351345,143.3518376832896,138.12420058139534,149.1347867895338,232.55660535250829,223.94225231980275,241.88522841095346
