model,temperature,run,epsilon,f1_mean,f1_lo,f1_hi,mae_mean,mae_lo,mae_hi,cpmae_mean,cpmae_lo,cpmae_hi
gpt-5.5,1.0,r1,0.6,0.4984696712919068,0.46863034539506027,0.5295031477789107,40.320064645322,35.76089101354894,45.509868404842464,91.71100433042083,85.89857418587486,97.7337849701161
gpt-5.5,1.0,r1,0.7,0.2683493093313609,0.23911622738781155,0.29706273214610057,40.88286455866231,35.85351241967375,46.623756935552706,115.01566339703652,109.48318882338947,121.03954792989676
gpt-5.5,1.0,r1,0.8,0.14152687076220458,0.12034369647764623,0.1634127331076843,31.197442785689496,26.53771853146853,36.149526217881636,134.801381908261,129.18675868087766,140.66829345621716
gpt-5.5,1.0,r1,0.9,0.07072704441907794,0.055695660423386556,0.08650595859395128,31.356606149500024,23.879905618964006,39.222598870056494,143.21160094555094,137.84297379085484,149.20004722550175
gpt-5.5,1.0,r2,0.5,0.664801146863132,0.6375315149225093,0.6905503634475597,43.225511182059634,38.538689210950075,48.61704922255526,73.90960535899585,68.65371892641379,79.26662119693569
gpt-5.5,1.0,r2,0.6,0.5034247203766007,0.47137483256942425,0.535267685710075,40.16349505672324,35.48834331337325,45.544590792838875,90.48120584827566,84.53387435592549,96.50759801369506
gpt-5.5,1.0,r2,0.7,0.2801975452123886,0.25288443316797643,0.30830304525171887,44.843044234345896,38.34637871555217,52.74972819867245,113.2233409315897,107.63233783614727,119.03682494588743
gpt-5.5,1.0,r2,0.8,0.1352648924739068,0.11528815605663671,0.157361467262254,32.488624826671476,27.0065167918692,38.15637440426128,135.30135997693054,130.02124214849414,141.26178191489362
gpt-5.5,1.0,r2,0.9,0.06709338926698961,0.05328060527576702,0.08103272186415464,29.08293854957284,21.796610169491526,37.16134897360704,143.8378321887895,138.5336988510356,149.5968146945258
gpt-5.5,1.0,r3,0.5,0.6591481417295464,0.6299485087656436,0.6856568801567556,40.84484619993086,36.853004111716594,45.744798237774624,74.84257634362748,69.45419872867178,80.4874551052704
