model,temperature,epsilon,n,w0,k,mae_raw,medae_raw,mae_cal_insample,medae_cal_insample,mae_cal_cv,medae_cal_cv
gpt-4o,0.4,0.8,217,23.58,1.024,37.34101382488479,28.0,34.129682875163226,26.58803177274345,34.61624836310746,26.711377903860978
gpt-4o,0.4,0.9,141,13.17,1.119,37.737588652482266,27.0,35.592118348832685,28.06931264955844,36.334139976263224,28.27019545795983
gpt-4o,0.6,0.5,650,25.59,0.946,35.19230769230769,18.0,36.403026528594076,22.84998503761105,36.59197200539767,22.874016062405346
gpt-4o,0.6,0.6,450,26.77,0.977,39.33111111111111,25.0,38.94194772065038,25.04516369799631,39.19933026854066,25.122527800604132
gpt-4o,0.6,0.7,329,26.07,0.988,37.90273556231003,26.0,35.74836801134087,24.82345330465421,36.07629159454969,24.927912683916247
gpt-4o,0.6,0.8,217,14.58,1.066,33.75115207373272,23.0,32.42448360115748,24.51639818990739,32.946885570927094,24.697046890483605
gpt-4o,0.6,0.9,140,9.0,1.1,32.67142857142857,22.5,32.54564317510914,23.495198120466043,33.49329836378439,23.71651165876979
gpt-4o,0.8,0.5,656,28.2,0.94,37.88109756097561,23.0,38.582911326179165,24.618769210438742,38.74857229396699,24.735576511104853
gpt-4o,0.8,0.6,465,43.85,0.851,43.10967741935484,30.0,40.817124295256555,26.553927912227664,41.095006301453964,26.477530946962105
gpt-4o,0.8,0.7,316,41.56,0.869,41.7246835443038,31.0,36.66071929209791,25.72426422767316,37.00878139683876,25.63015411236931
gpt-4o,0.8,0.8,202,45.21,0.824,40.73267326732673,31.5,35.09323397447243,23.269839838234077,35.66836813653783,23.489379196224064
gpt-4o,0.8,0.9,130,37.72,0.895,39.46153846153846,28.0,35.39791728784012,24.59099045610796,36.34015190637285,24.78164447884079
gpt-4o,1.0,0.5,646,32.87,0.903,38.0046439628483,22.0,39.440491389374344,25.16370693027362,39.6126485020507,25.28930839110292
gpt-4o,1.0,0.6,457,43.36,0.854,41.927789934354486,30.0,40.66975795061157,26.060418518699123,40.949888032830565,26.14427619982753
gpt-4o,1.0,0.7,317,39.18,0.886,40.61198738170347,31.0,37.565716788345945,24.8731704347841,37.92484046021833,25.192382699952816
gpt-4o,1.0,0.8,211,50.43,0.754,34.55924170616114,28.0,30.129554937014632,20.53544878427124,30.573709881342086,20.629331370828368
gpt-4o,1.0,0.9,129,46.56,0.81,33.53488372093023,28.0,28.91113847073898,22.867925071838584,29.429421193702815,23.048043674913288
gpt-5.2,0.0,0.5,624,38.39,0.752,44.84775641025641,24.0,46.15048594473552,31.243383794139447,46.33607830302564,31.365208148376624
gpt-5.2,0.0,0.6,392,52.72,0.658,45.58673469387755,30.0,42.61387929297394,31.35938805569569,42.932608196282985,31.47714342652425
gpt-5.2,0.0,0.7,231,52.97,0.67,47.05194805194805,30.0,43.23860832787957,27.42412888575251,43.8619301676627,27.640541633947066
gpt-5.2,0.0,0.8,94,59.71,0.545,32.840425531914896,24.5,26.024497002786138,19.892956282201368,26.644822854109396,20.732576866589724
gpt-5.2,0.0,0.9,41,66.54,0.543,32.951219512195124,25.0,29.29489474588103,24.08755347141573,31.293139800020416,25.863642461980362
gpt-5.2,0.2,0.5,619,45.97,0.696,46.121163166397416,25.0,46.81850966809269,33.18610315923303,46.987523787982624,33.296158335700284
gpt-5.2,0.2,0.6,400,63.05,0.615,50.55,32.0,48.30787944593314,36.79349354327176,48.61980439599122,36.86793550232086
gpt-5.2,0.2,0.7,219,56.82,0.685,52.12328767123287,33.0,50.67307455600226,33.590172165769985,51.40800585818029,33.518088312166384
gpt-5.2,0.2,0.8,80,104.38,0.265,40.45,27.5,34.60854461334516,25.256789007749944,36.347931456783414,25.57706165211519
gpt-5.2,0.2,0.9,32,35.88,0.658,32.84375,26.5,27.325277214692,22.60970591794748,29.315217236866275,26.887870681829682
gpt-5.2,0.4,0.5,606,44.97,0.72,46.54620462046205,24.5,48.64657008048045,33.19259651142295,48.83309801645398,33.472216660145506
gpt-5.2,0.4,0.6,382,67.52,0.599,51.66492146596859,30.0,50.63941606882786,36.402822391181616,51.0003932445912,36.58044666061615
gpt-5.2,0.4,0.7,212,98.82,0.411,50.64622641509434,31.5,47.83121531973758,34.557545840402014,48.41929854907166,34.86980794455154
gpt-5.2,0.4,0.8,72,63.24,0.478,33.47222222222222,24.5,23.51712457490604,18.0,24.287338880332392,17.85262981018751
gpt-5.2,0.4,0.9,29,49.79,0.627,31.93103448275862,24.0,27.16065086217316,21.85127752665042,29.63945787588175,22.634503912363016
gpt-5.2,0.6,0.5,620,42.6,0.723,45.91290322580645,24.0,47.26555792615224,31.346501131844803,47.45501247717838,31.495683534427656
gpt-5.2,0.6,0.6,386,54.54,0.636,49.295336787564764,31.0,44.71841154381704,31.586062436337684,45.071929020301,31.826730128687444
gpt-5.2,0.6,0.7,218,46.4,0.712,49.981651376146786,34.0,46.488654106933254,29.446500066767527,47.14452166362093,29.63104891321106
gpt-5.2,0.6,0.8,77,40.08,0.657,33.51948051948052,22.0,28.020464220718303,20.233997857801114,29.420208865883637,20.518482240462163
gpt-5.2,0.6,0.9,31,45.34,0.595,28.677419354838708,16.0,23.786993618983,26.52529242524284,25.56266268779561,27.448526071529443
gpt-5.2,0.8,0.5,616,46.59,0.705,45.560064935064936,23.0,47.70384906064312,32.85044310694421,47.875559946487044,32.825465416115264
gpt-5.2,0.8,0.6,399,70.19,0.572,51.43107769423559,30.0,49.78162464988715,37.53915662301222,50.09121576324958,37.69670519731528
gpt-5.2,0.8,0.7,219,66.91,0.603,49.821917808219176,33.0,47.36183260801333,31.36578931288335,47.96293387956516,31.78314216088782
gpt-5.2,0.8,0.8,86,49.56,0.582,38.7906976744186,25.0,30.29100871540978,19.641113488846727,31.429267366068657,19.911067245879437
gpt-5.2,0.8,0.9,30,52.04,0.598,33.8,18.5,31.545506008622322,28.48821999165584,33.76878872846287,29.673601999184278
